URL,Link
#content,Skip to content
https://energyhub.org,Home
https://www.energyhub.org/incentives/,Incentives and Rebates
https://www.energyhub.org/financing/,Financing Programs
https://www.energyhub.org/carbon-tax-rebate/,Carbon Pricing
https://www.energyhub.org/targets/,Clean Energy Targets
https://www.energyhub.org/climate-action-plans/,Climate Action Plans
https://www.energyhub.org/solar/,Provincial Solar Guides
https://www.energyhub.org/cost-solar-power-canada/,Cost of Solar
https://www.energyhub.org/solar-energy-maps-canada/,Solar Maps
https://www.energyhub.org/solar-incentives/,Incentives
https://www.energyhub.org/?page_id=11412,Free Cost Estimate
https://www.energyhub.org/electricity-prices/,Electricity Prices
https://www.energyhub.org/ev-map-canada/,EV Charging Map
https://www.energyhub.org/indicators/,Sustainable Energy Indicators
https://www.energyhub.org/climate-tools/,Interactive Climate Tools
https://www.energyhub.org/about/,Our Story and Mission
https://www.energyhub.org/contact/,Contact us
https://www.energyhub.org/action/,Take Action
https://www.energyhub.org/atlas/,Clean Energy Atlas
https://www.energyhub.org/website-services/,Website Services
https://www.energyhub.org/solar/,Provincial Solar Rankings
https://energyhub.org,Home
https://www.energyhub.org/incentives/,Incentives and Rebates
https://www.energyhub.org/financing/,Financing Programs
https://www.energyhub.org/carbon-tax-rebate/,Carbon Pricing
https://www.energyhub.org/targets/,Clean Energy Targets
https://www.energyhub.org/climate-action-plans/,Climate Action Plans
https://www.energyhub.org/solar/,Provincial Solar Guides
https://www.energyhub.org/cost-solar-power-canada/,Cost of Solar
https://www.energyhub.org/solar-energy-maps-canada/,Solar Maps
https://www.energyhub.org/solar-incentives/,Incentives
https://www.energyhub.org/?page_id=11412,Free Cost Estimate
https://www.energyhub.org/electricity-prices/,Electricity Prices
https://www.energyhub.org/ev-map-canada/,EV Charging Map
https://www.energyhub.org/indicators/,Sustainable Energy Indicators
https://www.energyhub.org/climate-tools/,Interactive Climate Tools
https://www.energyhub.org/about/,Our Story and Mission
https://www.energyhub.org/contact/,Contact us
https://www.energyhub.org/action/,Take Action
https://www.energyhub.org/atlas/,Clean Energy Atlas
https://www.energyhub.org/website-services/,Website Services
https://www.energyhub.org/solar/,Provincial Solar Rankings
https://www.energyhub.org/electricity-prices/,Electricity Prices
https://www.energyhub.org/solar/,Solar Guides
https://www.energyhub.org/cost-solar-power-canada/,Cost of Solar
https://www.energyhub.org/incentives/,Incentives & Rebates
https://www.energyhub.org/solar-energy-maps-canada/,Solar Maps
https://www.energyhub.org/carbon-tax-rebate/,Carbon Pricing
https://www.energyhub.org/ev-map-canada/,EV Charging Map
https://www.energyhub.org/rylan-urban/,Rylan Urban
http://www.energyhub.org/wp-content/uploads/Canadian-Solar-Power-Rankings.jpg,"<img decoding=""async"" src=""http://www.energyhub.org/wp-content/uploads/Canadian-Solar-Power-Rankings.jpg"" alt=""Canadian Solar Power Rankings"" class=""wp-image-9198"" style=""object-fit:contain;width:550px;height:272px""/>"
#solar-incentives,Solar Incentives
#natural-factors,Natural Factors
#rebates-tax-breaks,Rebates & Tax Breaks
#other-energy-incentives,Other Energy Incentives
#solar-irradiance,Solar Irradiance
#utility-policies,Utility Policies
#system-financing,System Financing
#interconnection-policy,Interconnection Policy
#electricity-prices,Electricity Prices
#utility-bill-rate-design,Rate Design
#cost-of-installation,Cost of Installation
#pace-programs,PACE Programs
#other-energy-financing,Other Energy Financing
#system-sizing,1. System Sizing
#physical-sizing,2. Physical Sizing
#system-costs,3. System Costs
https://www.maritimeelectric.com/accounts-billing/your-bill/how-to-read-your-bill/,Maritime Electric Hydro Bill
http://www.energyhub.org/wp-content/uploads/2019/01/Maratime-Electric-Electricity-Bill.png,"<img decoding=""async"" width=""702"" height=""272"" src=""http://www.energyhub.org/wp-content/uploads/2019/01/Maratime-Electric-Electricity-Bill.png"" alt=""Maratime Electric Electricity Bill"" class=""wp-image-5034"" style=""width:387px;height:150px"" srcset=""https://www.energyhub.org/wp-content/uploads/2019/01/Maratime-Electric-Electricity-Bill.png 702w, https://www.energyhub.org/wp-content/uploads/2019/01/Maratime-Electric-Electricity-Bill-300x116.png 300w"" sizes=""(max-width: 702px) 100vw, 702px"" />"
#solar-irradiance,‘equivalent full sunlight hours’ in Prince Edward Island
http://www.energyhub.org/wp-content/uploads/Cost-of-Solar-Power-Canada.jpg,"<img decoding=""async"" src=""http://www.energyhub.org/wp-content/uploads/Cost-of-Solar-Power-Canada.jpg"" alt=""Cost of Solar Power Canada"" class=""wp-image-9199"" style=""object-fit:contain;width:550px;height:274px""/>"
#cost-of-installation,cost of installing
http://www.energyhub.org/solar-cost-estimate/,Get a cost estimate
http://www.energyhub.org/wp-content/uploads/Canadian-Solar-Power-Rankings.jpg,"<img decoding=""async"" src=""http://www.energyhub.org/wp-content/uploads/Canadian-Solar-Power-Rankings.jpg"" alt=""Canadian Solar Power Rankings"" class=""wp-image-9198"" style=""object-fit:contain;width:550px;height:274px""/>"
https://energyhub.org/solar,Provincial Solar Rankings
http://www.energyhub.org/wp-content/uploads/Solar-Energy-Incentives-Canada.jpg,"<img decoding=""async"" src=""http://www.energyhub.org/wp-content/uploads/Solar-Energy-Incentives-Canada.jpg"" alt=""Solar Energy Incentives Canada"" class=""wp-image-9203"" style=""object-fit:contain;width:550px;height:275px""/>"
#system-sizing,System Sizing
https://www.princeedwardisland.ca/en/information/environment-energy-and-climate-action/solar-electric-rebate-program,Solar Electric Rebate Program
#common-solar-questions,Common Solar Questions
https://natural-resources.canada.ca/energy-efficiency/homes/canada-greener-homes-initiative/canada-greener-homes-grant/canada-greener-homes-grant/23441,Federal Greener Homes Rebate
https://budget.gc.ca/fes-eea/2018/docs/statement-enonce/anx03-en.html,Federal Tax Provision for Clean Energy Equipment
https://www.energyhub.org/incentives/#prince-edward-island,other energy incentive programs
https://www.energyhub.org/wp-content/uploads/Clean-Energy-Incentives-Canada.jpg,"<img decoding=""async"" width=""1024"" height=""570"" src=""https://www.energyhub.org/wp-content/uploads/Clean-Energy-Incentives-Canada-1024x570.jpg"" alt=""Clean Energy Incentives Canada"" class=""wp-image-13359"" srcset=""https://www.energyhub.org/wp-content/uploads/Clean-Energy-Incentives-Canada-1024x570.jpg 1024w, https://www.energyhub.org/wp-content/uploads/Clean-Energy-Incentives-Canada-300x167.jpg 300w, https://www.energyhub.org/wp-content/uploads/Clean-Energy-Incentives-Canada-768x428.jpg 768w, https://www.energyhub.org/wp-content/uploads/Clean-Energy-Incentives-Canada.jpg 1252w"" sizes=""(max-width: 1024px) 100vw, 1024px"" />"
https://www.energyhub.org/wp-content/uploads/Solar-Energy-Production-Potential-Canada.jpg,"<img decoding=""async"" width=""1024"" height=""508"" src=""https://www.energyhub.org/wp-content/uploads/Solar-Energy-Production-Potential-Canada-1024x508.jpg"" alt=""Solar Energy Production Potential Canada"" class=""wp-image-7000"" style=""object-fit:contain;width:500px;height:248px"" srcset=""https://www.energyhub.org/wp-content/uploads/Solar-Energy-Production-Potential-Canada-1024x508.jpg 1024w, https://www.energyhub.org/wp-content/uploads/Solar-Energy-Production-Potential-Canada-300x149.jpg 300w, https://www.energyhub.org/wp-content/uploads/Solar-Energy-Production-Potential-Canada-768x381.jpg 768w, https://www.energyhub.org/wp-content/uploads/Solar-Energy-Production-Potential-Canada.jpg 1028w"" sizes=""(max-width: 1024px) 100vw, 1024px"" />"
http://www.nrcan.gc.ca/18366,Natural Resources Canada
